id,recordingid,shotid,sequenceid,url,date,format,camera,subjectid,glasses,source1,emotion,source2,rank,lefteye,righteye,nose,mouth,yaw,pitch,stageid,weather,collectionid,environmentid,sensorid,illuminantid,illuminantid1,illuminantid2,state,fileid,by_user,lastcheck,date_added,added_by,comment,temp_collectionid,enrolled_date,fileid,userkey,checksum,extension,size,lastcheck,rank,fstate,subjectid,gender,source1,YOB,source2,race,source3,sequence,date_added,s_irises,ethnicity
44373,nd5R55030,2008-093-006-hq.NEF,05256d319,NULL,04_02_2008,nef,NULL,nd1S05256,No,Retrospectively,BlankStare,Given,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nd1T00010,Inside,nd1C00011,nd1E00041,nd1N00012,nd1I00010,nd1I00010,NULL,enrolled,235191,flynn,08_23_2008,08_12_2008,dthomas4,NULL,1218579585,NULL,235191,2008-093-006-hq.NEF,1c167101ae9b9b53ec52eac67232f689,nef,8445093,05_02_2012,0,ok,nd1S05256,Female,Given,1981,Given,White,Retrospectively,606,06_12_2009,189886,NULL
44374,nd5R55031,2008-093-006-passport.NEF,05256d320,NULL,04_02_2008,nef,NULL,nd1S05256,No,Retrospectively,BlankStare,Given,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nd1T00010,Inside,nd1C00011,nd1E00042,nd1N00013,nd1I00010,nd1I00010,NULL,enrolled,235192,flynn,08_23_2008,08_12_2008,dthomas4,NULL,1218579585,NULL,235192,2008-093-006-passport.NEF,d89ee64ede652bd8e3c83c5de66fdee8,nef,5373491,12_05_2012,0,ok,nd1S05256,Female,Given,1981,Given,White,Retrospectively,606,06_12_2009,189886,NULL
44372,nd5R55032,2008-093-006-face-closeup.NEF,05256d321,NULL,04_02_2008,nef,NULL,nd1S05256,No,Retrospectively,BlankStare,Given,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nd1T00010,Inside,nd1C00011,nd1E00041,nd1N00012,nd1I00010,nd1I00010,NULL,enrolled,235190,flynn,08_23_2008,08_12_2008,dthomas4,NULL,1218579585,NULL,235190,2008-093-006-face-closeup.NEF,5f18de38df769150e7bde342451efb9d,nef,8529805,05_16_2012,0,ok,nd1S05256,Female,Given,1981,Given,White,Retrospectively,606,06_12_2009,189886,NULL
44371,nd5R55033,2008-093-005-pre-mugshot.JPG,05379d107,NULL,04_02_2008,jpeg,NULL,nd1S05379,No,Retrospectively,BlankStare,Given,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nd1T00012,Sunny,nd1C00011,nd1E00044,nd1N00014,stdI00003,stdI00003,NULL,enrolled,235189,flynn,08_23_2008,08_12_2008,dthomas4,NULL,1218579585,NULL,235189,2008-093-005-pre-mugshot.JPG,ce63a3d7067ea0cbf66ba033a403c837,jpg,898052,05_16_2012,0,ok,nd1S05379,Male,Given,1988,Given,White,Retrospectively,2827,07_12_2010,198041,NULL
44368,nd5R55034,2008-093-005-post-activity-still.NEF,05379d108,NULL,04_02_2008,nef,NULL,nd1S05379,No,Retrospectively,BlankStare,Given,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nd1T00012,Sunny,nd1C00011,nd1E00044,nd1N00012,stdI00003,stdI00003,NULL,enrolled,235186,flynn,08_23_2008,08_12_2008,dthomas4,NULL,1218579585,NULL,235186,2008-093-005-post-activity-still,30e5619bae03fc13f4d6c6fbcb5f44d4,nef,8970672,05_16_2012,0,ok,nd1S05379,Male,Given,1988,Given,White,Retrospectively,2827,07_12_2010,198041,NULL
44369,nd5R55035,2008-093-005-post-mugshot.JPG,05379d109,NULL,04_02_2008,jpeg,NULL,nd1S05379,No,Retrospectively,BlankStare,Given,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nd1T00012,Sunny,nd1C00011,nd1E00044,nd1N00014,stdI00003,stdI00003,NULL,enrolled,235187,flynn,08_23_2008,08_12_2008,dthomas4,NULL,1218579585,NULL,235187,2008-093-005-post-mugshot.JPG,ee9a8f17f640a0cd89e380cda192b219,jpg,887696,05_16_2012,0,ok,nd1S05379,Male,Given,1988,Given,White,Retrospectively,2827,07_12_2010,198041,NULL
44370,nd5R55036,2008-093-005-pre-activity-still.NEF,05379d110,NULL,04_02_2008,nef,NULL,nd1S05379,No,Retrospectively,BlankStare,Given,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nd1T00012,Sunny,nd1C00011,nd1E00044,nd1N00012,stdI00003,stdI00003,NULL,enrolled,235188,flynn,08_23_2008,08_12_2008,dthomas4,NULL,1218579585,NULL,235188,2008-093-005-pre-activity-still.,b2dd092518c5f895324b148377aee450,nef,8787560,05_16_2012,0,ok,nd1S05379,Male,Given,1988,Given,White,Retrospectively,2827,07_12_2010,198041,NULL
44367,nd5R55037,2008-093-005-passport.NEF,05379d111,NULL,04_02_2008,nef,NULL,nd1S05379,No,Retrospectively,BlankStare,Given,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nd1T00010,Inside,nd1C00011,nd1E00042,nd1N00013,nd1I00010,nd1I00010,NULL,enrolled,235185,flynn,08_23_2008,08_12_2008,dthomas4,NULL,1218579585,NULL,235185,2008-093-005-passport.NEF,ac8110723c43c6e318818329c97dbf31,nef,5312518,12_05_2012,0,ok,nd1S05379,Male,Given,1988,Given,White,Retrospectively,2827,07_12_2010,198041,NULL
44366,nd5R55038,2008-093-005-hq.NEF,05379d112,NULL,04_02_2008,nef,NULL,nd1S05379,No,Retrospectively,BlankStare,Given,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nd1T00010,Inside,nd1C00011,nd1E00041,nd1N00012,nd1I00010,nd1I00010,NULL,enrolled,235184,flynn,08_23_2008,08_12_2008,dthomas4,NULL,1218579585,NULL,235184,2008-093-005-hq.NEF,f4254cf25ff1c2083518c1ec9c612a8c,nef,8495088,05_16_2012,0,ok,nd1S05379,Male,Given,1988,Given,White,Retrospectively,2827,07_12_2010,198041,NULL
44364,nd5R55039,2008-093-004-pre-mugshot.JPG,05401d53,NULL,04_02_2008,jpeg,NULL,nd1S05401,No,Retrospectively,BlankStare,Given,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nd1T00012,Sunny,nd1C00011,nd1E00044,nd1N00014,stdI00003,stdI00003,NULL,enrolled,235182,flynn,08_23_2008,08_12_2008,dthomas4,NULL,1218579585,NULL,235182,2008-093-004-pre-mugshot.JPG,4c96da7da6837bb7db6bdaae89754c74,jpg,885093,05_16_2012,0,ok,nd1S05401,Female,Given,1982,Given,White,Retrospectively,257,07_01_2010,189862,NULL
